어휘,뜻풀이
귀휘개,귀이개
귀휘비개,귀이개
귀휘지개,귀이개
귈밀,귀리
귊기다,굶기다
귐,고욤
귑히다,굽히다
귓고리,귀걸이
귓구냥,귓구멍
귓구녕,귓구멍
귓마개,귀마개
귓바꾸,귓바퀴
귓섭,귀지
귓속,귀지
귕,구유
그간꾼,거간꾼
그그저께,그끄저께
그그저께,그끄저께
그글페,그글피
그까이,그까짓
그끄저끼,그끄저께
그끄저끼,그끄저께
그나,그네
그녁,거기
그느리다,그느르다
그늘,그네
그늘찌,그늘
그능기,그늘
그능지,그늘
그니,그네
그니,끼니
그니거리다,그닐거리다
그다위,그따위
그다위,그따위
그다이,그다지
그닥지,그다지
그달다,거들다
그대,그대로
그드럭거리다,거들먹거리다
그드름,거드름
그따구,그따위
그따구,그따위
그따우,그따위
그따우,그따위
그떡하며,까딱하면
그랑,귀주머니
그랑,개울
그랴,그래
그랴도,그래도
그러기,그릇
그러끼,그러께
그러끼,그러께
그러모태다,그러모으다
그러뫼다,그러모으다
그러미,거머리
그럭,그릇
그럼,그을음
그렁,개울
그렇나,그렇지
그레뫼다,그러모으다
그려,그래
그루마,그리마
그루처,그루터기
그루테기,그루터기
그르기,그릇
그르마,그리마
그르시,그릇
그르터기,그루터기
그르테기,그루터기
그륵,그릇
그름,그림
그름마,그리마
그름자,그림자
그릏다,그렇다
그리매,그리마
그립타,그립다
그맇다,그렇다
그마리,거머리
그마리,고마리
그머리,거머리
그뭄께,그믐께
그믐끼,그믐께
그미,금
그미,거미
그번,지난번
그상,그네
그석재이,구석
그스다,긋다
그스름,그을음
그스름,으스름
그습,나물
그시다,긋다
그신그신,기신기신
그아래,그끄저께
그아래,그끄저께
그앙없다,아늑하다
그여,기어이
그이,게
그이,거위
그이걸음,게걸음
그이미,금
그이와집,기와집
그저기,그저께
그저기,그저께
그저끼,그저께
그저끼,그저께
그제껏,그제야
그제서,그제야
그제서야,그제야
그즛말,거짓말
그지서는,그제야
그짓부리,거짓부리
그짓부링이,거짓부렁이
그트럼,트림
그트름,트림
그후년,내후년
극괭이,극젱이
극제이,극젱이
극징이,극젱이
귺다,긁다
근너,그네
근네,그네
근네가다,건너가다
근노,그네
근뉵,근육
근느다,건너다
근덕지,건더기
근뒤,그네
근득지,건더기
근디,그네
근디,그런데
근디기,건더기
글개이,고무래
글갱이,극젱이
글거이,고무래
글괭이,극젱이
글다,긁다
글랑,호주머니
글러메다,그러모으다
글망,애벌
글캥이,극젱이
글페,글피
긁다,굵다
긁어메다,긁어모으다
긁어모드다,긁어모으다
긁어모디다,긁어모으다
긁어모이다,긁어모으다
긁어모태다,긁어모으다
긁어뫼다,긁어모으다
금간질키다,간질이다
금다,검다
금빙이,굼벵이
금자리,거머리
금저리,거머리
금초,벌초
금하다,그치다
급작시리,급작스레
긋적,그적
긍굿줄,금줄
긓다,긋다
기,게
기,귀
기,새끼
기,겨
기,거
기간총,기관총
기개,귀이개
기걸이,귀걸이
기게창,기계총
기겟독,기계독
기계홀태,탈곡기
기그르다,게으르다
기기,거기
기기충,기계총
기네,그네
기다,게우다
기다,깁다
기다리키다,기다리다
기달려지다,어떤 사람이나 때가 오기를 바라는 마음이 생기다
기달리다,기다리다
기데기,구더기
기동,기둥
기둘레,귓바퀴
기둘르다,기다리다
기둘리다,기다리다
기뒤기,구더기
기드맣다,기다마하다
기디기,구더기
기따라미,귀뚜라미
기따래미,귀뚜라미
기또라미,귀뚜라미
기뚜라미,귀뚜라미
기뚜람지,귀뚜라미
기뚜래미,귀뚜라미
기뚜러미,귀뚜라미
기뚜럼,귀뚜라미
기뚜리,귀뚜리
기뜨라미,귀뚜라미
기뜨래미,귀뚜라미
기레기,기러기
기레기,길이
기려기,기러기
기령,간장
기로기,기러기
기루다,기르다
기륵지,길이
기름자,그림자
기리,귀리
기리기,기러기
기리기,길이
기리마,길마
기림자,그림자
기머거리,귀머거리
기머머리,귀머거리
기먹쟁이,귀머거리
기먹초,귀머거리
기미,금
기밀,귀리
기밀개,부엌의 아궁이에서 재를 긁어낼 때 사용하는 고무래
기서리,귀서리
기수씨,계수씨
기스기,기슭
기스리,기슭
기슥,기슭
기슬,기슭
기슬개기,기슭
기슬기,기슭
기슴매다,김매다
기신,귀신
기아,기와
기알,귀얄
기애이,고양이
기야,기와
기야집,기와집
기어쿠,기어코
기어히,기어이
기우개,귀이개
기우지개,귀이개
기욱하다,기웃하다
기욱하다,기웃하다
기울리다,기울이다
기으름,그을음
기을,겨울
기음,김
기조기,기저귀
기지,그렇지
기지개,귀이개
기지개,기저귀
기지배,계집아이
기창,귀청
기트래미,트림
기트름,트림
기트림,트림
기프다,깊다
기화,기와
기황이면,기왕이면
기후비개,귀이개
길다,긷다
길르다,기르다
길르다,게으르다
김막,고막
김장,간장
김치국,나박김치
김치그륵,보시기
김치멀국,김칫국
깃구넝,귓구멍
깃구멍,귓구멍
깃막이,귀마개
깃속,귀지
까갱이,고갱이
까구매,까마귀
까그매,까마귀
까꾸러치다,꺼꾸러뜨리다
까꾸레,갈고리
까꾸리,까투리
까꿀루,거꾸로
까끄다,깎다
까끄래이,까끄라기
까끄레기,가시랭이
까끄매,까마귀
까니보다,깔보다
까다럽다,까다롭다
까닥,까닭
까닥스럽다,까다롭다
까달,까닭
까달스럽다,까다롭다
까드룹다,까다롭다
까딱하문,까딱하면
까또기,깍두기
까뜩하다,가뜩하다
까뜩하먼,까딱하면
까락지,가락지
까랑비,가랑비
까래기,까끄라기
까랙,까끄라기
까렵다,가렵다
까마구발,도깨비바늘
까마기,까마귀
까마다,까마득하다
까막깨,주근깨
까막보리,깜부기
까만동자,검은자위
까매귀,까마귀
까매기,까마귀
까모개,까마귀
까뭇,깜박
까미기,까마귀
까불르다,까부르다
까불르다,까불다
까뿍,흠뻑
까스락,가시랭이
까스락지,생채
까스래기,까끄라기
까스레기,섶
까시,가시
까시,가시
까시나무,가시나무
까시다,가시다
까시덩쿨,가시덩굴
까시딩이,가시덤불
까시랑쿠,까끄라기
까시랑풀,까끄라기
까시랭이,까끄라기
까시열매꽃,장미꽃
까시장나무,가시나무
까시쟁이,가시나무
까시찰배이,도깨비바늘
까시찰뱅이,도깨비바늘
까신짠지,생채
까장,까지<DR /> 제주 지역에서는 장’으로도 적는다.
까재,가재
까정,까지
까준애기,갓난아기
까즈런하다,가지런하다
까지,가지
까지,가지
까질러다니다,나다니다
까치바눌,도깨비바늘
까치바늘,도깨비바늘
까치저구리,색동저고리
까트리,까투리
까푸르다,가파르다
까풀막지다,가파르다
까풀지다,비탈지다
깍대기,깍두기
깍데기,껍데기
깍되기,깍두기
깍둑지,깍두기
깍뒤기,깍두기
깍디기,깍두기
깍디기,깍지
깍재이,깍지
깍쟁이,극젱이
깍지꽝,여물간
깍지날,갈큇발
깍징이,껍질
깐난아,갓난아이
깐난쟁이,갓난아이
깐치바늘,도깨비바늘
깔,꼴
깔,칼
깔구랭이,갈고랑이
깔구리,갈고리
깔구리,갈퀴
깔꼬장하다,꽁하다
깔꾸랭이,갈고랑이
깔꾸리,갈퀴
깔꾸막,비탈
깔꾸매기,낭떠러지
깔꾸장하다,꽁하다
깔꾸쟁이,갈고쟁이
깔끄룹다,종이나 송판 따위의 겉면이 미끄럽지 못하고 껄껄하다
깔끼,갈고리
깔다귀,하루살이
깔디기,깍두기
깔따지,갈대
깔때기,딸꾹질
깔때밭,갈대밭
깔띡이,딸꾹질
깔망태기,꼴망태
깔보,갈보
깔보양,갈보
깔중이,가지런히
깔치,갈치
깔쿠리,갈고리
깔쿠리,갈퀴
깔키,갈고리
깔키,갈퀴
깔풀막,가풀막
깜기다,감기다
깜다,감다
깜다,감다
깜뎅이,깜부기
깜뭇,깜박
깜바기,깜부기
깜밥,누룽지
깜밥,튀밥
깜방,깜부기
깜배기,깜부기
깜버기,깜부기
깜뵈기,깜부기
깜뷔기,깜부기
깜뷔기숯,깜부기숯
깜비기,숯
깝디기,입고 있는 옷
깟난아,갓난아이
깟난애,갓난아이
깟난애기,갓난아이
깟난이,갓난아이
깟난재이,갓난쟁이
깟난쟁이,갓난아이
깟언나,갓난아이
깡개,누룽지
깡갱이,누룽지
깡밥,누룽지
깡짜,강짜
깡철,강철
깨,뚜껑
깨고락지,개구리
깨고래기,개구리
깨골깨골,개굴개굴
깨구라기,개구리
깨구락깨구락,개굴개굴
깨구락지,개구리
깨구락지밥,개구리밥
깨구래기,개구리
깨구리,개구리
깨굴깨굴,개굴개굴
깨굴창,개울
깨굼,개암
깨금,개암
깨금버섯,"돌버섯과의 버섯. 갓은 가운데 부분이 약간 두드러진 평평한 모양이고 겉면에는 붉은 밤색의 뾰족한 비늘이 덮여 있다. 주름은 흰색이고 대는 원기둥 모양이다. 여름과 가을에 숲, 강가 따위의 습지에 돋는다"
깨긋하다,깨끗하다
깨까달스럽다,까다롭다
깨깟이,깨끗이
깨깟허다,깨끗하다
깨꾸락지,개구리
깨꾸리,개구리
깨꿈,개암
깨꿈나무,개암나무
깨끗히,깨끗이
깨끚이,깨끗이
깨끼손고락,새끼손가락
깨닥스럽다,까다롭다
깨대기,바지춤
깨딱하면,까딱하면
깨딱하문,까딱하면
깨딱하믄,까딱하면
깨딱하이면,까딱하면
깨똥버러지,개똥벌레
깨록깨록,개굴개굴
깨병,꾀병
깨병부리다,엄살떨다
깨암,개암
깨온하다,개운하다
깨치,개비
깨투리,까투리
깨피리,피라미
깪이다,깎이다
깸기다,감기다
깸묵보리,깜부기
깸부기,깜부기
깸팽이,까팡이
깻고물,깨고물
깽과리,꽹과리
깽마기,꽹과리
깽미기,꽹과리
깽아리,꽹과리
깽투리,까투리
꺼글로,거꾸로
꺼꺼럽다,꺼끌꺼끌하다
꺼꾸로박다,꺼꾸러뜨리다
꺼꾸루,거꾸로
꺼꿀루,거꾸로
꺼끄럭,꺼끄러기
꺼끔하다,뜸하다
꺼끔해지다,자주 있던 왕래나 소식 따위가 한동안 없어지다
꺼녕눈,거적눈
꺼떡하면,까딱하면
꺼룸하다,꺼림하다
꺼륵,꺼끄러기
꺼름하다,꺼림하다<DR /> 제주 지역에서는 꺼름다’로도 적는다.
꺼리끼다,거리끼다
꺼마리,거머리
꺼머리,거머리
꺼먹깨,주근깨
꺼먹동자,검은자위
꺼먹자우,검은자위
꺼먹창,검은자위
꺼멍개,검둥개
꺼멩이,껌정이
꺼새이,거위
꺼생이,거위
꺼셍이,지렁이
꺼슬하다,거스르다
꺼우름하다,기울어지다
꺼작때기,거적때기
꺼적,가마니
꺼적거리다,농사짓다’의방언
꺼적눈,거적눈
꺼적때기,거적때기
꺼정,까지
꺼지,까지
꺼추다,꺼뜨리다
꺼치,거적
꺼칠다,거칠다
꺼품,거품
꺽세,극젱이
꺽징이,극젱이
껀디기,번데기
껀뜻하면,걸핏하면
껀청하다,껑충하다
껀충하다,껑충하다
껄때기,딸꾹질
껄떡,딸꾹
껄떡거리다,딸꾹거리다
껄떡껄떡,딸꾹딸꾹
껄떡대다,딸꾹대다
껄떡이,딸꾹질
껄떼기,딸꾹질
껄뚝이,딸꾹질
껄뚱애기,"아이들이 어린 아기와 같은 행동을 할 때에, 안아 주거나 엉덩이를 토닥거리면서 귀엽게 이르는 말"
껄뜩이,딸꾹질
껄띡이,딸꾹질
껄핏하면,걸핏하면
껌두이,검둥이
껌부기,깜부기
껍데,껍데기
껍디기,껍데기
껑거리낭구,껑거리막대
께,겨
께까드럽다,까다롭다
께깔,고깔
께꾸룸하다,께끄름하다
께꿀새,꾀꼬리
께다,꿰다
께리뺑이,고삐
께보,꾀보
껚이다,꺾이다
껜서껜서,곤지곤지
껜서껜서,곤지곤지
껜수껜수,짝짜꿍짝짜꿍
껜수껜수,짝짜꿍짝짜꿍
껜히,공연히
꼬가리,고갱이
꼬개꼬개,개굴개굴
꼬개이,고갱이
꼬갱이,고갱이
꼬깜,곶감
꼬꼬질,곤지곤지
꼬꼬질,곤지곤지
꼬꾸박질,곤두박질
꼬꾸뱅이,곤두박질
꼬나부,목말
꼬노꼬노,섬마섬마
꼬누꼬누,섬마섬마
꼬누다,겨누다
꼬니,고양이
꼬다,고다
꼬도름,고드름
꼬도머리,곱슬머리
꼬돌개,고들빼기
꼬돌빼기,고들빼기
꼬두래미,고드름
꼬두름,고드름
꼬두배기,고들빼기
꼬둘빼기,고들빼기
꼬드락지,뾰루지
꼬드래미,고드름
꼬드름,고드름
꼬드어,고등어
꼬들끼,고들빼기
꼬들삐,고들빼기
꼬등어,고등어
꼬라구니,꼬락서니
꼬라꾸니,꼬락서니
꼬라지,꼬락서니
꼬라지,골마지
꼬랑댕이,꼬랑이
꼬랭이,꼬랑이
꼬량,고량
꼬롱내,고린내
꼬른내,고린내
꼬리,고누
꼬리다,고리다
꼬린내,고린내
꼬릿매,지게꼬리
꼬마딩이,꼬마둥이
꼬마지,뾰루지
꼬망쥐,생쥐
꼬매다,꿰매다
꼬모풀,고무풀
꼬무라지,부스럼
꼬무락지,뾰루지
꼬무레기,부스럼
꼬무신,고무신
꼬바리,담배통
꼬바리대,담뱃대
꼬배이,고갱이
꼬뱅이,고갱이
꼬빼,고삐
꼬뿔,감기
꼬소하다,고소하다
꼬솜하다,고소하다
꼬솝다,고소하다
꼬시네,고수레
꼬시네,고수레
꼬시랍다,"가마나 그네, 짐승 따위를 탈 때 몸으로 전달되는 느낌이 좋다"
꼬시래기,누룽지
꼬에다,꿰다
꼬우래,고무래
꼬이,게
꼬이다,꿰다
꼬작,짐을 많이 지기 위하여 지게의 윗부분에 덧세운 두 개의 나무 막대
꼬장바지,고쟁이
꼬장배기,고집쟁이
꼬장중우,고쟁이
꼬재이,꼬챙이
꼬재이,고쟁이
꼬쟁이,꼬챙이
꼬쟁이,고쟁이
꼬쟁이다리,나뭇가지 몇 개를 묶어서 만든 간이 다리
꼬젱이치기,자치기
꼬즈다,꽂다
꼬채이,고쟁이
